id;is_closed;sex;country_id;country_title;bdate;city_id;city_title;universities_chair;universities_chair_name;universities_city;universities_country;universities_education_form;universities_education_status;universities_faculty;universities_faculty_name;universities_id;universities_name;schools_city;schools_country;schools_id;schools_name
8656904;True;2;2;Украина;6.8.1965;185;Севастополь;;;;;;;;;;;;;;
8667256;False;2;1;Россия;22.5;185;Севастополь;;;;;;;;;;;;;;
8672863;True;1;1;Россия;29.6;185;Севастополь;;;;;;;;;;;;;;
8673593;True;1;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
8691687;False;1;2;Украина;18.12;185;Севастополь;;;;;;;;;;;;;;
8693597;False;1;1;Россия;14.8;185;Севастополь;;;;;;;;;;;;;;
8709485;True;1;1;Россия;;;;;;;;;;;;;;;;;
8711641;True;1;1;Россия;24.2.1973;185;Севастополь;;;;;;;;;;;;;;
8732509;False;1;1;Россия;28.5.1990;799;Евпатория;;;;;;;;;;;;;;
8736036;False;2;1;Россия;21.6;185;Севастополь;;;;;;;;;;;;;;
8751924;True;2;1;Россия;14.6.1988;185;Севастополь;;;;;;;;;;;;;;
8766107;True;1;4;Казахстан;5.2;13907;Красногорский;;;;;;;;;;;;;;
8774546;False;2;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
8779897;False;1;2;Украина;;5974;Луцк;;;;;;;;;;;;;;
8782044;True;1;;;26.6;;;;;;;;;;;;;;;;
8785881;False;2;1;Россия;8.12.1989;185;Севастополь;879201, 879201; Кафедра физики,  Кафедра физики;185, 185;1, 1;Очное отделение, Очное отделение;Выпускник (бакалавр), Выпускник (магистр);53239, 53239;Институт радиоэлектроники и информационной безопасности, Институт радиоэлектроники и информационной безопасности;1032, 1032;СевГУ, СевГУ;;;;
8811666;False;2;1;Россия;5.9.1994;185;Севастополь;80137;Кибернетики и вычислительной техники (КиВТ);185;1;Очное отделение;Студент (специалист);2231791;Факультет автоматики и вычислительной техники;1032;СевНТУ (бывш. СГТУ, СПИ);818;2;11128;Школа №7
8842649;True;1;;;31.8;;;;;;;;;;;;;;;;
8845626;True;2;1;Россия;26.6;185;Севастополь;;;;;;;;;;;;;;
8875250;False;2;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
8880441;False;1;1;Россия;25.6.1986;185;Севастополь;;;;;;;;;;;;;;
8884562;True;1;1;Россия;4.10;;;;;;;;;;;;;;;;
8932516;True;2;1;Россия;10.8.1970;185;Севастополь;;;;;;;;;;;;;;
8934305;True;1;;;14.2;;;;;;;;;;;;;;;;
